query_id,max_metric_value,max_metric_value_depth
1000391,9.859698146700875,12
1000709,6.231442140986869,12
1001153,12.220951353255806,6
1001443,13.630678014265037,0
1001454,8.57024073087081,17
1002477,13.630678014265037,11
1002683,7.511348621686288,0
1002767,13.630678014265037,0
1003029,10.479586139973563,11
1003138,4.392789260714372,11
1003368,13.274470827157014,7
1003549,9.050277088928338,17
1003601,13.028618022937074,14
1004707,13.630678014265037,0
1004922,12.918263640048993,0
1004924,12.71921502829593,15
1006098,13.630678014265037,0
1006300,13.630678014265037,0
1007,8.720377331020861,0
1007242,4.297065768319924,11
1007812,8.80541884523126,14
1007827,13.630678014265037,0
1007871,8.583051623526913,0
1007959,12.769324898118251,11
1008337,8.429881493404688,17
100856,13.630678014265037,0
1008913,10.904740662751921,4
1008990,11.474260114050415,11
1010067,12.333081594026915,14
1010927,13.630678014265037,11
1011630,7.681558977409093,19
1011964,10.04213079619572,5
1012638,11.078094415535476,20
1012903,12.40727634820335,13
1012920,5.790983964109513,11
1013045,13.630678014265037,14
1013424,8.619600530854944,0
1013615,9.522979148486069,0
1015483,6.276837713626947,13
1015486,12.910491873697161,10
1016815,7.163776416603094,10
1017028,13.630678014265037,0
1017399,11.152891950063175,0
1018610,10.590754986500125,0
1019058,11.136471187836268,4
1019198,13.630678014265037,0
1019264,5.748996447822394,7
1019976,13.630678014265037,0
1020066,6.766826919172778,9
1020147,12.62187180355587,11
1020710,10.519976315386558,4
1021277,12.797344680931705,16
1021382,10.267907621978953,0
1021449,13.630678014265037,0
1023101,8.127231765395095,6
1023109,9.979767126388122,0
1023133,10.878247991016785,13
1023363,9.321918214875215,5
1024311,9.333883384221307,4
1025772,13.630678014265037,11
1026433,6.176553580182008,12
1026527,7.350406725212233,6
1027723,8.783618968737056,20
1028599,8.98052448455087,19
1028676,10.627416230322392,0
1028924,12.409653438711711,15
1029090,11.037680268775512,7
1029559,8.289793394214763,5
1029618,9.616538242766456,3
1030588,4.392789260714372,4
1032081,3.1379996393207477,6
1032826,8.394871241599564,18
1033296,12.954760380712607,0
1033403,12.028618022937074,0
1033727,2.1309297535714578,20
103383,13.028618022937074,14
1033927,6.717295890504302,0
1034263,7.137913743579142,18
1034783,12.954760380712607,0
1035058,8.947030576986766,0
1035666,12.341613187947148,15
1036149,8.17523490537796,15
1036271,11.274470827157014,14
1036295,13.014183141815327,0
1036485,13.297344680931705,0
1036600,5.892789260714372,0
1036645,13.630678014265037,0
1037249,13.630678014265037,12
1037662,13.274470827157014,18
1038905,9.043028686170146,12
1039681,2.0,0
1040034,7.987889479923326,13
1040068,13.329648018601056,11
1040154,13.052548361629261,0
1040401,12.10862344304773,19
1040633,13.630678014265037,0
1040694,3.522343201856489,11
1040886,12.999748260693579,14
1042505,10.759629175055895,10
1043670,7.043559338088346,5
1044289,7.4992908310729,12
1045590,13.329648018601056,0
1045600,13.630678014265037,0
1046416,10.35451423246489,17
1046469,8.333298096233033,11
1046614,10.808321768738919,0
1046750,13.630678014265037,0
1046828,4.142364270999352,15
1047561,10.333704867212408,18
1047663,1.1737365524159569,15
1048273,13.630678014265037,0
1048549,9.83044980879545,0
1048621,8.404943151107792,11
1048730,13.630678014265037,0
1050353,13.630678014265037,0
1051333,13.630678014265037,0
1051454,7.569959388556187,2
