query_id	initial_metric	reranked_metric
1000391	8.556219909052995	9.06224225827443
1000709	6.546907017772597	5.784695375720383
1001153	10.831103001246312	11.577158540363829
1001443	11.205271266169234	13.630678014265037
1001454	6.781640375956456	7.807661850762367
1002477	13.052548361629261	13.052548361629261
1002683	7.2645912019662315	7.511348621686288
1002767	10.822930267761064	13.630678014265037
1003029	10.846794632777474	10.182663651562239
1003138	1.5773243839286437	3.8927892607143724
1003368	6.951588748631598	13.243825207030495
1003549	2.9019548946573996	8.160842233423907
1003601	10.728668483537563	12.674946521280482
1004707	10.662228812690543	13.630678014265037
1004922	7.443215749654432	12.918263640048993
1004924	8.998269060159647	12.450488370301299
1006098	13.297344680931705	13.630678014265037
1006300	0.0	13.630678014265037
1007	5.043559338088346	8.720377331020861
1007242	0.0	4.145945945252711
1007812	6.340231427599412	7.832716785673528
1007827	12.06205645294097	13.630678014265037
1007871	7.420341895879743	8.583051623526913
1007959	5.361541837194114	12.052548361629261
1008337	7.218312842498654	7.968559315204775
100856	2.9615373399998695	13.630678014265037
1008913	5.982322733905381	10.404740662751921
1008990	10.341096303337494	11.436053489179551
1010067	9.49483548473379	11.66298135193439
1010927	5.948421412373435	12.96401134759837
1011630	4.575050681524877	6.495452032393595
1011964	8.947382711896065	9.928983603430263
1012638	6.387136618954822	7.440501547194102
1012903	8.996695690632494	10.965887115073249
1012920	2.748205923381328	5.462715482992239
1013045	9.817088904954186	12.630678014265037
1013424	3.087383088927197	8.619600530854944
1013615	7.314677100441584	9.522979148486069
1015483	2.1329942420936634	5.891149035534525
1015486	6.842775490672082	12.86666812285831
1016815	6.034129854193682	6.483486863047501
1017028	9.819558616729841	13.630678014265037
1017399	8.202368342661577	11.152891950063175
1018610	7.282897126365871	10.590754986500125
1019058	4.11122506247212	11.067147745909661
1019198	8.71429552681045	13.630678014265037
1019264	5.446394630357187	5.464263086904791
1019976	8.398416590720787	13.630678014265037
1020066	5.1163163554408095	5.613690518127743
1020147	11.60137504028954	12.350230677608993
1020710	9.03194148473265	9.950652873459951
1021277	6.8122859960829745	12.598553193604586
1021382	8.982619669945734	10.267907621978953
1021449	12.96401134759837	13.630678014265037
1023101	8.270907985672807	6.388615819488755
1023109	8.646433793054788	9.979767126388122
1023133	9.643719590594458	9.601905692207739
1023363	5.105111013663122	8.508517826611692
1024311	6.930060010413588	9.264559942294701
1025772	13.274470827157014	12.630678014265037
1026433	2.937777140695345	5.14725060620651
1026527	5.590730768611448	7.206613912320256
1027723	5.906195645397177	8.147191151217536
1028599	5.9304121453228875	7.920982661428224
1028676	5.160054210538055	10.627416230322392
1028924	10.049920054910537	11.684376005175144
1029090	7.825389775498292	10.930641320973095
1029559	6.105111013663122	7.80163950154093
1029618	5.562999616437177	8.616538242766456
1030588	1.6309297535714575	4.184818934934552
1032081	1.6309297535714575	3.0070698857492903
1032826	4.797417903229223	8.076388508756995
1033296	10.135492221039135	12.954760380712607
1033403	5.273115507561908	12.028618022937074
1033727	2.3739897479140213	1.9319597492354388
103383	10.308517778110804	12.450488370301299
1033927	4.869706193058121	6.717295890504302
1034263	2.931959749235439	5.54874325232433
1034783	11.037235512598917	12.954760380712607
1035058	7.268831952706009	8.947030576986766
1035666	11.986303890813556	10.814631826919804
1036149	0.0	6.002167313827927
1036271	7.0590681964905775	6.99778121235757
1036295	6.284516858711482	13.014183141815327
1036485	9.763529898129834	13.297344680931705
1036600	5.500746060259861	5.892789260714372
1036645	5.192357548207408	13.630678014265037
