query_id	initial_retrieved_metric_value	reranked_all_metric_value	minimal_rerank_depth
1000709	5.784695375720383	5.574204958214865	0
1001443	13.630678014265037	13.630678014265037	0
1002683	7.511348621686288	7.397794657941457	0
1002767	13.630678014265037	13.630678014265037	0
1003368	13.243825207030495	10.302495428889369	0
1003601	12.674946521280482	12.251596973382327	0
1004707	13.630678014265037	13.630678014265037	0
1004922	12.918263640048993	12.31620364872103	0
1006098	13.630678014265037	13.630678014265037	0
1006300	13.630678014265037	11.179575565709593	0
1007	8.720377331020861	7.844589333752327	0
1007242	4.145945945252711	3.0177825608059994	0
1007827	13.630678014265037	13.630678014265037	0
1007871	8.583051623526913	8.16858580445829	0
100856	13.630678014265037	13.630678014265037	0
1013424	8.619600530854944	7.110577817939654	0
1013615	9.522979148486069	7.006453338089485	0
1015486	12.86666812285831	12.528329392297893	0
1017028	13.630678014265037	11.737888753550665	0
1017399	11.152891950063175	11.152891950063175	0
1018610	10.590754986500125	9.649107819603502	0
1019058	11.067147745909661	10.232163983358054	0
1019198	13.630678014265037	13.630678014265037	0
1019264	5.464263086904791	5.392789260714372	0
1019976	13.630678014265037	13.630678014265037	0
1020710	9.950652873459951	9.606558954525523	0
1021382	10.267907621978953	9.488179658288434	0
1021449	13.630678014265037	13.630678014265037	0
1023109	9.979767126388122	9.753472740857205	0
1023363	8.508517826611692	8.227922669819407	0
1024311	9.264559942294701	9.032853388557326	0
1026527	7.206613912320256	6.2637454786562206	0
1028676	10.627416230322392	9.09861264859356	0
1029090	10.930641320973095	10.532701312301057	0
1029559	7.80163950154093	7.058754046778498	0
1029618	8.616538242766456	8.386053486445807	0
1030588	4.184818934934552	4.1482368613282015	0
1032081	3.0070698857492903	2.7881669363434614	0
1032826	8.076388508756995	7.766569794746832	0
1033296	12.954760380712607	12.954760380712607	0
1033403	12.028618022937074	7.915477309155602	0
1033927	6.717295890504302	5.8461611555535535	0
1034783	12.954760380712607	12.942795211366514	0
1035058	8.947030576986766	8.587297193185591	0
1036295	13.014183141815327	12.324642621373972	0
1036485	13.297344680931705	11.509177744588243	0
1036600	5.892789260714372	5.874920804166768	0
1036645	13.630678014265037	13.329648018601056	0
1038905	8.172386617940376	7.565988435686441	0
1039681	2.0	2.0	0
1040068	13.014183141815327	12.450488370301299	0
1040154	13.052548361629261	13.028618022937074	0
1040633	13.630678014265037	13.200001456191645	0
1040694	3.18945462469975	2.763923995665121	0
1044289	7.449211658123238	7.210226004755012	0
1045590	13.329648018601056	12.75151836596528	0
1045600	13.630678014265037	13.630678014265037	0
1046614	10.808321768738919	8.456633678781827	0
1046750	13.630678014265037	13.329648018601056	0
1048273	13.630678014265037	13.630678014265037	0
1048549	9.83044980879545	7.4954041218492105	0
1048730	13.630678014265037	13.630678014265037	0
1050353	13.630678014265037	13.630678014265037	0
1051333	13.630678014265037	13.630678014265037	0
1051491	6.474235896161738	5.688831351514256	0
1051755	5.939029634984729	5.187352150980323	0
1051877	11.392253709687672	8.370694274597001	0
1052350	12.910491873697161	12.710683434375692	0
1053104	10.884715096414816	10.861841242640127	0
1053445	9.236095403304654	8.912457793033678	0
1054018	8.332538268664628	8.294065404626071	0
1055009	8.786088680512709	8.438320466057629	0
1055035	9.351035946316124	9.32315669531435	0
1056286	7.105165649733196	6.777735603601373	0
1056884	12.99974826069358	12.49974826069358	0
1057219	13.630678014265037	13.630678014265037	0
1057367	12.262138419754693	12.049200681945011	0
1058040	5.210226004755012	4.32337319752047	0
1059496	9.313413061707609	8.956188922605232	0
1062335	5.04874325232433	4.3433441277875025	0
1062784	0.8562071871080221	0.7868837451814152	0
1062818	12.815213137479308	10.481879804145976	0
1064655	12.418263640048993	12.177127602416956	0
1065184	13.630678014265037	13.630678014265037	0
1065339	10.35742870041714	8.279919154143506	0
1065587	13.630678014265037	13.052548361629261	0
1067223	7.251720854321151	6.563432828169181	0
1067844	8.557896779023897	7.309547822275673	0
1068703	9.225382728247945	6.431250580308339	0
1071513	7.911201042624262	7.732569206611501	0
1071874	5.860596036675301	5.520685484313657	0
1073399	13.630678014265037	13.630678014265037	0
1075557	10.411115146882656	10.18147308166749	0
1076910	13.630678014265037	13.630678014265037	0
1077432	11.200087351933249	9.723232343984135	0
1078138	12.524083822639215	12.301768767599283	0
1079515	8.911201042624262	8.005555448115059	0
1080057	7.86755580879431	7.166019422134201	0
1080749	6.748996447822394	6.708254137500101	0
1082240	7.475519087323785	5.8888578407677725	0
1082351	8.041026122042574	8.041026122042574	0
1082488	12.55428468658914	12.363007841187907	0
