Fold #,Percentile,Predicted Depth,Reranked All Metric Value,Initial Metric Value,Maximum Metric Value,Depth of Maximum Metric Value,Metric Value At Predicted Depth,Ratio (Metric at Depth / Reranked All),Ratio (Metric at Depth / Maximum Metric Value)
0,10,15,10.211385314978232,10.211385314978232,11.707249858949837,13,11.707249858949837,1.1464898735901627,1.0
0,10,15,9.942135293389963,9.942135293389963,9.942135293389963,534,7.1814488637788125,0.7223245964630359,0.7223245964630359
0,10,15,9.87045873230197,9.87045873230197,10.00504876754383,469,6.717295890504302,0.6805454612277891,0.671390619533517
0,10,15,9.91919951522064,9.91919951522064,9.91919951522064,683,6.598877061344067,0.6652630639416353,0.6652630639416353
0,10,15,9.89103244292026,9.89103244292026,9.89103244292026,278,5.474235896161738,0.5534544475263603,0.5534544475263603
0,10,15,10.008989023540916,10.008989023540916,11.21804842974815,47,11.206083260402057,1.1196019132447446,0.9989334000988653
0,10,15,10.203063744280133,10.203063744280133,10.203063744280133,614,8.845377356638178,0.8669334602164885,0.8669334602164885
0,10,15,9.629463226481612,9.629463226481612,10.005110691938466,288,9.080922709054857,0.9430351926659594,0.9076284099856821
0,10,15,10.048300322564923,10.048300322564923,10.048300322564923,42,9.381633655898256,0.93365378767894,0.93365378767894
0,10,15,9.934886890631772,9.934886890631772,10.235916886295753,27,9.11776429630321,0.9177521995646395,0.8907618533431462
0,10,15,9.990587445669451,9.990587445669451,9.990587445669451,626,5.894853749236579,0.5900407539890739,0.5900407539890739
0,10,15,10.930641320973097,10.930641320973097,10.930641320973097,885,8.501474381615031,0.7777653782585366,0.7777653782585366
0,10,15,10.47621448894234,10.47621448894234,10.47621448894234,94,9.03584220780659,0.8625102337627715,0.8625102337627715
0,10,15,10.662871238304108,10.662871238304108,11.033513306533877,45,8.799711567401637,0.8252666069707881,0.7975439302901446
0,10,15,10.87380641198622,10.87380641198622,10.87380641198622,127,7.656442118103298,0.7041179351568726,0.7041179351568726
0,10,15,10.507619936637266,10.507619936637266,10.507619936637266,22,9.666771961378048,0.9199773135753221,0.9199773135753221
0,10,15,10.7036135486264,10.7036135486264,11.104808615715395,26,10.277103952794642,0.9601527471172114,0.9254643018566393
0,10,15,10.98977792084229,10.98977792084229,10.98977792084229,494,8.119459999043265,0.7388192971256116,0.7388192971256116
0,10,15,10.366754018599917,10.366754018599917,10.553446251603688,428,4.804666305987414,0.4634687287232758,0.4552698892323731
0,10,11,12.05254836162926,12.05254836162926,13.315213137479308,28,9.534917877079533,0.7911121856548688,0.7160920203553407
0,10,11,11.643541073585558,11.643541073585558,13.200001456191645,116,12.225118315497438,1.0499484854509804,0.926145224761553
