query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_mono_1000	max_dcg_value_mono_1000_depth	initial_bm25_retrieved_dcg_value	mono_1000_reranked_all_dcg_value	max_dcg_value_mono_1000_duo_20	max_dcg_value_mono_1000_duo_20_depth	mono_1000_duo_20_reranked_all_dcg_value
1000391	140.42195	505.0405	17.424541	10.451907	15.197143	140.42195	140.42195	0.008780914	25.777468	2.614484	2.614484	10.244901614013823	30	9.06224225827443	9.06224225827443	9.859698146700875	12	9.558668151036894
1000709	37.93456	131.38763	2.2441978	8.666428	4.1884933	37.93456	37.93456	0.00976677	9.96482	1.3323935	1.0478494	6.993387543871389	12	5.784695375720383	5.784695375720383	6.231442140986869	12	5.574204958214865
1001153	15.255706	53.331203	1.414976	8.302294	11.888906	15.255706	15.255706	0.009709749	7.599375	1.1214432	1.0749098	11.577158540363827	13	11.577158540363829	11.577158540363829	12.220951353255806	6	12.215945956028722
1001443	49.625942	183.5968	10.6661825	12.998429	14.139773	49.625942	49.625942	0.008838815	15.590714	1.7745261	1.7745261	13.630678014265037	25	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1001454	62.77169	220.72331	8.109528	9.861373	15.051708	62.77169	62.77169	0.009556853	14.978133	2.1442266	1.7449982	9.002286375847852	69	7.807661850762367	7.807661850762367	8.57024073087081	17	8.57024073087081
1002477	761.1215	2610.0889	78.648155	14.406965	13.705877	761.1215	761.1215	0.007912482	67.75653	4.9911633	4.646112	13.05254836162926	0	13.052548361629261	13.052548361629261	13.630678014265037	11	13.630678014265037
1002683	982.0963	3595.811	74.96009	20.800129	16.988617	982.0963	982.0963	0.012510866	84.41785	6.279465	4.9045925	7.814848329125923	14	7.511348621686288	7.511348621686288	7.511348621686288	0	7.397794657941457
1002767	435.39975	1443.7656	45.851368	14.759853	18.482191	435.39975	435.39975	0.007998106	51.595562	4.2339544	4.2339544	13.630678014265037	18	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1003029	540.9333	1828.2301	35.8499	17.345419	16.316511	540.9333	540.9333	0.009683422	53.01653	4.7806606	4.0018635	11.328168818067123	12	10.182663651562239	10.182663651562239	10.479586139973565	11	10.479586139973563
1003138	57.533215	212.64513	7.4267097	6.8656	9.292735	57.533215	57.533215	0.00978188	13.947702	1.6710261	1.6710261	4.541587470833434	19	3.8927892607143724	3.8927892607143724	4.392789260714372	11	4.323465818787765
1003368	49.943825	171.75255	5.721692	6.567091	14.313729	49.943825	49.943825	0.009213195	12.387339	1.7970468	1.7914943	13.630678014265037	40	13.243825207030495	13.243825207030495	13.274470827157014	7	10.302495428889369
1003549	34.626022	114.32216	4.65489	6.9646363	10.228327	34.626022	34.626022	0.009722499	10.2493725	1.582017	1.5466526	8.534917877079533	63	8.160842233423907	8.160842233423907	9.050277088928338	17	9.050277088928338
1003601	42.858196	144.839	4.3844113	6.906156	11.39522	42.858196	42.858196	0.009372875	11.68473	1.6761208	1.6761208	13.341613187947148	16	12.674946521280482	12.674946521280482	13.028618022937074	14	12.251596973382327
1004707	34.362015	125.56915	4.939299	11.83323	15.082956	34.362015	34.362015	0.010287828	14.288288	1.5224615	1.5224615	13.630678014265037	39	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1004922	153.41359	556.7625	43.62338	9.701322	19.868052	153.41359	153.41359	0.009799941	26.539549	2.633991	2.633991	12.918263640048991	53	12.918263640048993	12.918263640048993	12.918263640048991	0	12.31620364872103
1004924	42.80884	142.20525	2.8117433	10.791731	12.493004	42.80884	42.80884	0.008414057	10.5397835	2.681165	1.7804836	13.329648018601056	423	12.450488370301299	12.450488370301299	12.71921502829593	15	12.71921502829593
1006098	20.054302	68.906944	3.633939	7.6042585	10.0564785	20.054302	20.054302	0.00935268	7.3360863	1.1476218	0.97507286	13.630678014265037	57	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1006300	22.39472	78.85457	2.922728	7.664874	7.196979	22.39472	22.39472	0.009912905	7.3147635	1.1669065	0.86503994	13.630678014265037	820	13.630678014265037	13.630678014265037	13.630678014265037	0	11.179575565709593
1007	134.44357	428.02353	14.867298	19.24581	7.730616	134.44357	134.44357	0.009517769	24.510624	1.8637316	1.8637316	8.720377331020861	50	8.720377331020861	8.720377331020861	8.720377331020861	0	7.844589333752327
1007242	44.638092	148.34691	5.609439	9.191104	31.302483	44.638092	44.638092	0.009347602	16.69828	2.3563304	2.3563304	4.145945945252711	522	4.145945945252711	4.145945945252711	4.297065768319924	11	3.0177825608059994
1007812	293.44403	944.4017	27.58976	17.547907	15.413754	293.44403	293.44403	0.009556618	35.17805	4.6056833	4.083646	8.50438884956728	25	7.832716785673528	7.832716785673528	8.80541884523126	14	8.80541884523126
1007827	11.697676	43.139866	1.4176626	8.049797	13.686001	11.697676	11.697676	0.009203509	6.048789	1.0415347	1.0156243	13.630678014265037	76	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1007871	221.72987	805.4109	14.365592	15.785097	14.296135	221.72987	221.72987	0.009094481	28.131859	4.265932	3.5940824	9.333883384221307	46	8.583051623526913	8.583051623526913	8.583051623526913	0	8.16858580445829
1007959	16.805826	64.44802	3.5293357	9.820458	4.2641277	16.805826	16.805826	0.008701267	8.03508	0.84978133	0.71021384	13.315213137479308	28	12.052548361629261	12.052548361629261	12.769324898118253	11	12.769324898118251
1008337	214.6743	729.2367	32.933655	13.781942	7.146362	214.6743	214.6743	0.009435937	23.16744	5.5443363	5.2080283	7.968559315204775	315	7.968559315204775	7.968559315204775	8.429881493404688	17	8.108513329417448
