query_id,max_metric_value,max_metric_value_depth
1000391,10.297701714949506,24
1000709,7.2508824193357,12
1001153,11.6987182650296,13
1001443,13.630678014265037,21
1001454,9.616481105141165,156
1002477,13.052548361629261,0
1002683,7.826813498472017,14
1002767,13.052548361629261,15
1003029,11.37243732508257,12
1003138,5.062889502806897,71
1003368,12.96401134759837,88
1003549,8.490649370064087,63
1003601,13.630678014265037,31
1004707,13.630678014265037,33
1004922,13.630678014265037,30
1004924,13.630678014265037,423
1006098,13.630678014265037,48
1006300,12.856972399795954,484
1007,8.057082315385417,31
1007242,5.552988821983009,620
1007812,8.80541884523126,127
1007827,13.630678014265037,62
1007871,9.333883384221307,46
1007959,13.297344680931705,28
1008337,8.417104329825772,315
100856,13.630678014265037,173
1008913,12.152072667505793,448
1008990,11.866401883690617,12
1010067,11.684283383907852,68
1010927,13.630678014265037,56
1011630,7.710140109013407,564
1011964,9.648724987821542,36
1012638,11.46401134759837,48
1012903,13.630678014265037,27
1012920,6.289700772947468,389
1013045,13.630678014265037,79
1013424,9.486341876010774,566
1013615,9.55362476861259,181
1015483,5.946937955719471,200
1015486,12.6401074981597,40
1016815,8.236447538213953,39
1017028,13.630678014265037,26
1017399,11.801690160182238,75
1018610,12.887618019922474,898
1019058,12.666414927360247,65
1019198,13.630678014265037,28
1019264,6.281792452212725,15
1019976,13.630678014265037,143
1020066,6.206255051885266,25
1020147,11.60137504028954,0
1020710,9.735916886295753,11
1021277,13.630678014265037,74
1021382,10.449933500494424,41
1021449,13.630678014265037,11
1023101,9.259414013255936,113
1023109,10.379186335594092,15
1023133,10.96418986460727,18
1023363,9.509801017773738,14
1024311,9.032853388557326,18
1025772,13.630678014265037,15
1026433,6.188518749528102,102
1026527,7.438320466057629,863
1027723,8.569250219629087,103
1028599,8.721660522182907,827
1028676,12.029674507854573,373
1028924,11.684376005175144,479
1029090,11.025998664607993,885
1029559,7.781090571610185,76
1029618,13.630678014265037,533
1030588,4.842412508735885,82
1032081,3.912629584516888,836
1032826,10.11776429630321,203
1033296,13.274470827157014,30
1033403,11.976874406918892,649
1033727,2.5616063116448506,6
103383,13.341613187947148,65
1033927,7.376806775680073,684
1034263,6.122195671295349,105
1034783,13.040583192283167,29
1035058,9.236095403304654,9
1035666,12.797344680931705,28
1036149,8.945859079330486,275
1036271,13.341613187947148,162
1036295,13.014183141815327,25
1036485,13.341613187947148,262
1036600,7.73819787702408,10
1036645,13.028618022937074,905
1037249,13.630678014265037,79
1037662,12.910491873697161,25
1038905,9.034043958452077,13
1039681,2.5,11
1040034,8.126419771162272,52
1040068,13.014183141815327,124
1040154,13.630678014265037,15
1040401,12.2501732504086,19
1040633,13.630678014265037,29
1040694,2.962801378733845,774
1040886,13.630678014265037,18
1042505,10.601998313475033,63
1043670,6.80541884523126,21
1044289,8.12088372201699,39
1045590,13.040583192283167,19
1045600,13.630678014265037,0
1046416,9.973971483411232,796
1046469,8.91495394556196,25
1046614,10.416839917075269,398
1046750,13.130678014265037,364
1046828,4.33740285538877,156
1047561,9.737340609269479,523
1047663,2.1185593609719158,0
1048273,13.630678014265037,37
1048549,11.245167853181517,659
1048621,2.9076241872898034,533
1048730,13.630678014265037,94
1050353,13.630678014265037,13
1051333,13.630678014265037,241
1051454,6.5272320064693075,11
1051491,7.14590796005549,855
1051755,5.163487785963913,23
1051877,11.86039354831943,890
1052350,13.341613187947148,392
1052548,4.961588417367606,0
1052985,9.881812172907159,123
1053104,10.60155355729844,377
1053445,10.861841242640127,277
1053465,13.630678014265037,38
1054018,10.10155355729844,295
1055009,7.710140109013407,377
1055035,10.892709312891164,607
1055269,13.630678014265037,222
1055324,10.775094100342509,897
1055889,8.700265868942148,95
1056025,12.310207740252224,121
1056286,7.499204935331296,92
1056884,12.954760380712607,771
1057117,9.923978206203177,10
1057190,10.034332589091258,16
1057219,13.630678014265037,43
1057367,12.6401074981597,6
1057536,8.242326854068493,41
1057939,13.630678014265037,61
1058036,5.7051347117863225,130
1058040,7.102084209216637,135
1058926,11.911834519848183,30
1059496,9.441846662750782,251
1059606,13.315213137479308,38
1059871,11.585016202457265,62
1060475,10.916839917075269,29
1062335,5.07938887245085,787
1062625,6.31129143556011,23
1062784,1.3868528072345416,14
1062818,13.329648018601056,458
1063787,2.5575343598865707,722
1064294,7.906195645397177,531
1064655,12.648546470812642,40
1064656,7.578765599265354,933
1064934,4.545217055631178,731
1065184,13.630678014265037,955
1065339,12.418185032631948,26
1065587,13.341613187947148,17
1066270,11.727588027273093,241
1067223,6.388679323758872,324
1067587,4.543559338088345,23
1067844,11.645643547304983,34
1068703,10.788153169034915,20
1069131,13.014183141815327,764
1070452,10.330178670519254,39
1071270,13.200001456191645,31
1071513,8.464720516525471,419
1071874,7.8461611555535535,0
1073399,13.630678014265037,31
1073540,3.7089428135929667,384
1074453,9.488492260274585,397
1075557,10.833260111035813,29
1075871,11.920273492501124,13
1076910,13.630678014265037,30
1077432,11.595471753088027,16
1078138,12.774470827157014,357
1079515,9.482588973073076,997
1080057,7.796167878345497,191
1080749,7.259983739668036,991
1082240,9.419082922606373,296
1082270,11.932331283114513,544
1082351,8.360736568486983,60
1082478,12.928360330244768,24
1082488,12.301768767599283,22
1082495,10.951412701028355,51
1082868,13.630678014265037,36
1082949,10.747410858712623,38
1083227,6.844589333752327,15
1083254,12.954760380712607,18
1083470,7.90785336294001,29
1083521,12.238819809803411,16
1083589,8.135225981871441,199
1083634,11.326596996265897,789
1083684,8.670205536803905,72
1083736,5.838252834818812,906
1083790,9.536201068241578,9
1084129,10.613518726644534,534
1084479,8.40141695441464,113
1084517,13.630678014265037,25
1084748,11.010639452759188,194
1084824,10.376276123761874,0
1084832,13.341613187947148,541
1084955,11.732078087616449,215
1085016,8.718134325489753,297
1085143,5.730997384810275,629
1085235,12.75151836596528,629
1085310,9.666771961378048,48
1085420,8.200889142127643,12
1085421,13.341613187947148,49
1085474,13.329648018601056,26
1085598,13.630678014265037,17
1085601,10.175944320846764,143
1085678,10.059191514630534,115
1085741,5.543559338088346,124
1085928,11.661502151400457,41
1086192,10.262224315496299,111
1086332,13.341613187947148,48
1086340,12.621427047379273,874
1086366,11.10490123698269,397
1086468,13.630678014265037,20
1086686,10.928805086421361,17
1086708,13.630678014265037,298
1086713,10.296711203707783,192
1086763,9.769386822512885,79
1086892,13.341613187947148,506
1087071,7.551560280090382,0
1087139,4.552896200715713,22
1087153,10.37618350249458,13
1087161,8.25396385985226,48
1087569,12.035577795056083,41
1087577,13.630678014265037,12
1087678,13.052548361629261,67
1087736,11.60490123698269,554
1087791,13.630678014265037,117
1087841,11.135947824242628,77
1087852,9.550215164533704,3
1088028,10.13167581383132,213
1088075,12.666414927360247,19
1088134,13.028618022937074,41
1088308,9.806860060567974,55
1088406,9.830178670519254,18
1088578,12.450488370301299,104
1088647,13.040583192283167,39
1088648,6.899859146463662,295
108871,10.071314708151293,278
1088837,10.495654767291173,866
1088964,9.195588635277392,239
1089001,7.574204958214865,75
1089029,13.329648018601056,12
1089032,13.630678014265037,126
1089136,13.630678014265037,60
1089424,6.959831711912653,14
1089441,8.071671742169094,0
1089490,5.974235896161739,31
1089577,10.003360353128338,403
1089830,9.318825229914065,120
1089861,10.273718287913168,68
1090039,10.144164346771053,677
1090132,12.643541073585558,43
1090280,9.814669812117023,817
1090401,11.507113256066038,17
1090562,12.274470827157014,290
1090652,6.881367416730564,497
1090662,7.952997368458394,609
1090682,11.60490123698269,891
1091173,9.470119592561412,257
1091254,13.341613187947148,940
1091399,11.819558616729841,26
1091458,13.630678014265037,111
1091482,10.741507571511113,401
1091494,9.752594772948608,25
1091634,13.630678014265037,11
1091922,13.630678014265037,46
1091923,5.921161178437124,43
1091984,11.097714758619135,11
1092032,7.601732074307339,861
1092103,13.040583192283167,476
1092215,9.05499385551624,129
1092228,13.630678014265037,81
1092255,13.630678014265037,710
1092452,7.90276206997132,115
1092535,8.401478878809277,866
1092611,13.630678014265037,77
1092747,10.289170121029267,148
1092756,7.802071165547009,25
1092912,12.368911128389415,159
1093029,13.014183141815327,782
1093040,13.630678014265037,21
1093084,6.92053790525163,900
1093086,7.210140109013407,11
1093186,12.130678014265037,18
1093221,8.711040468393492,15
1093230,7.362105655390632,22
1093258,13.130678014265037,28
1093322,8.917549086002369,33
1093479,13.630678014265037,74
1093490,8.241279317540638,311
1093539,6.487680266041764,68
1093680,11.703902179265583,11
1094112,7.192271652465801,93
1094242,13.630678014265037,58
1094254,12.243825207030495,112
1094331,13.200001456191645,286
1094387,10.926003161802237,86
1094390,13.341613187947148,414
1094971,12.63929550392688,530
1094986,8.133746781337509,11
1095070,13.630678014265037,22
