query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_monoelectra	max_dcg_value_monoelectra_depth	initial_splade_retrieved_dcg_value	monoelectra_reranked_all_dcg_value
1011630	133.92525	461.90378	9.217882	10.556619	17.782103	133.92525	133.92525	0.0103585	20.71322	4.3755217	2.8287592	7.710140109013407	19	6.648089041191962	7.710140109013407
1011964	176.17479	628.31226	12.473836	8.848781	12.631692	176.17479	176.17479	0.010132188	22.886889	4.1897764	4.1748295	9.351659219501618	5	8.500371533879074	9.333260111035813
1012638	5.7230983	21.24542	0.6955243	6.1668415	12.428633	5.7230983	5.7230983	0.010642676	4.5155926	0.73823875	0.73823875	9.730326201080397	15	9.165755009383696	9.615809921411287
1012903	283.07144	999.85846	22.899427	11.943287	12.964668	283.07144	283.07144	0.008558145	30.361738	3.2394788	2.691724	13.630678014265037	11	13.028618022937074	13.630678014265037
1012920	51.53151	171.61635	5.2018666	10.269028	5.76276	51.53151	51.53151	0.009245794	13.799647	1.2306043	1.2306043	7.281083283285625	31	6.850406725212233	6.786619332430909
1013045	112.8099	401.3694	9.416769	8.552263	13.328008	112.8099	112.8099	0.009314652	21.124228	2.5162926	2.3907862	13.630678014265037	0	13.630678014265037	13.630678014265037
1013424	12.200784	42.91872	0.8682687	8.229469	8.876053	12.200784	12.200784	0.011040905	6.5449276	0.87193227	0.85131466	9.378990326222205	27	6.289522255938566	9.378990326222205
1013615	8.036756	27.786972	1.0176928	7.113361	8.366912	8.036756	8.036756	0.009052072	4.9996924	0.7442423	0.7442423	9.622948210539196	0	9.622948210539196	9.264559942294701
1015483	6.9906955	24.905842	0.866454	8.357279	7.764304	6.9906955	6.9906955	0.012345917	4.743703	0.6988752	0.6988752	6.880240351105931	16	6.200796520860349	6.868275181759838
1015486	87.66433	300.46072	9.380385	9.3467655	9.494926	87.66433	87.66433	0.009783297	18.124453	1.9352258	1.9352258	12.621427047379273	21	11.78102382829665	12.621427047379273
1016815	504.75284	1757.1263	48.1025	18.056196	32.418846	504.75284	504.75284	0.0068189534	66.90945	6.3842134	4.595429	8.236447538213953	23	6.350406725212233	8.236447538213953
1017028	9.050874	30.948816	0.4994659	10.516285	2.014864	9.050874	9.050874	0.010569664	5.607714	0.48868585	0.48868585	13.630678014265037	0	13.630678014265037	13.630678014265037
1017399	67.808685	248.58543	5.110318	8.747242	17.799246	67.808685	67.808685	0.00994265	14.420898	2.8109791	2.429015	11.78725527906049	19	11.152891950063175	11.78725527906049
1018610	29.787493	101.05232	2.607205	6.0610065	13.540283	29.787493	29.787493	0.008831607	10.055915	1.7699516	1.7699516	13.630678014265037	16	12.329648018601056	13.630678014265037
1019058	33.331944	120.00563	4.6426	9.648249	10.513965	33.331944	33.331944	0.009984549	12.0597515	1.36407	1.36407	12.049920054910537	14	11.234259168752919	11.78725527906049
1019198	43.544773	143.6523	6.260781	12.579477	13.213809	43.544773	43.544773	0.010635127	15.63221	1.6849021	1.6849021	13.630678014265037	0	13.630678014265037	13.630678014265037
1019264	30.645226	108.1918	3.2306745	10.543745	10.458427	30.645226	30.645226	0.0098910695	12.924445	1.1904602	1.1904602	5.561606311644851	41	1.0	5.561606311644851
1019976	15.26176	56.637146	1.5777465	8.126731	8.1303005	15.26176	15.26176	0.009737846	6.9693847	0.89315766	0.89315766	13.630678014265037	0	13.630678014265037	13.630678014265037
